"Shift #","Trip #","Operator Name","Medallion","Device Type","Chauffeur #","Meter On Datetime","Meter Off Datetime","Trip Length","Pickup Latitude","Pickup Longitude","Pickup Location","Dropoff Latitude","Dropoff Longitude","Dropoff Location","Fare","Tax","Tips","Tolls","Surcharge","Trip Total","Payment Type","Street/Dispatch"
71990481,06947,"Freedom Taxi","9554","NGP",111291,"01/01/2015 00:00","01/01/2015 00:05","1.3","39.599814","-75.529895","12569 DEERRUN PLACE","39.065975","-75.967089","1234 MARKET ST","5.46","0.75","0.00","0.00","0.00","6.21","Cash","Street Hail"
04260840,08033,"Freedom Taxi","3417","NGP",410823,"01/01/2015 00:01","01/01/2015 00:07","1.0","39.396695","-75.022449","1234 MARKET","39.491753","-75.616174","1234 MARKET","5.69","0.75","4.00","0.00","0.00","10.44","Credit Card","Street Hail"
85671732,39747,"Freedom Taxi","3981","NGP",863541,"01/01/2015 00:01","01/01/2015 00:10","3.9","39.183477","-75.783084","604-36 S WASHINGTON SQ","39.040554","-75.969474","2401 PENNSYLVANIA AVE","8.91","0.75","0.00","0.00","0.00","9.66","Credit Card","Street Hail"
10617383,24900,"Freedom Taxi","3045","MKC",839675,"01/01/2015 00:02","01/01/2015 00:07","1.4","39.384167","-75.349401","901 N PENN ST","39.268152","-75.026048","1234 MARKET ST","6.15","0.75","0.00","0.00","0.00","6.90","Cash","Street Hail"
95439271,18403,"Freedom Taxi","6086","NGP",467280,"01/01/2015 00:02","01/01/2015 00:04","0.7","39.064282","-75.619928","2018-32 WALNUT ST","39.789445","-75.888001","224-30 W RITTENHOUSE SQ","4.08","0.75","0.00","0.00","0.00","4.83","Cash","Street Hail"
17389666,83908,"Freedom Taxi","0079","NGP",675215,"01/01/2015 00:03","01/01/2015 00:13","1.0","39.089597","-75.122162","2601 PENNSYLVANIA AVE","39.399691","-75.521438","1100 S BROAD ST","7.53","0.75","0.00","0.00","0.00","8.28","Cash","Street Hail"
59662311,14675,"Freedom Taxi","4631","NGP",136744,"01/01/2015 00:03","01/01/2015 00:08","1.0","39.967124","-75.519616","1420 LOCUST ST","39.835128","-75.185576","822-38 CHESTNUT ST","5.46","0.75","0.00","0.00","0.00","6.21","Cash","Street Hail"
20795151,83999,"Freedom Taxi","0330","NGP",003510,"01/01/2015 00:03","01/01/2015 00:09","1.3","39.921911","-75.668182","2101-17 CHESTNUT ST","39.340967","-75.227928","2001 HAMILTON ST","6.61","0.75","0.00","0.00","0.00","7.36","Cash","Street Hail"
24804836,07531,"Freedom Taxi","7755","NGP",779660,"01/01/2015 00:03","01/01/2015 00:13","1.4","39.987113","-75.756340","901 N PENN ST","39.143131","-75.185276","1324 LOCUST ST","7.07","0.75","2.08","0.00","0.00","9.90","Credit Card","Street Hail"
86817657,83712,"Quaker City Cab","6703","NGP",491265,"01/01/2015 00:04","01/01/2015 00:04","0.0","39.561515","-75.438429","1512-14 SPRUCE ST","39.437856","-75.597446","4000 GYPSY LA","2.70","0.75","0.00","0.00","22.00","25.45","Cash","Street Hail"
22442064,20111,"Quaker City Cab","7813","NGP",886451,"01/01/2015 00:04","01/01/2015 00:12","0.0","39.585033","-75.791540","241 S 06TH ST","39.957856","-75.231416","231-35 N 02ND ST","7.76","0.75","0.00","0.00","0.00","8.51","Cash","Street Hail"
05732867,70090,"Freedom Taxi","8180","NGP",515262,"01/01/2015 00:04","01/01/2015 00:16","3.3","39.220489","-75.434145","201-59 N 08TH ST","39.827880","-75.055690","3900 FORD RD","10.98","0.75","0.00","0.00","0.00","11.73","Cash","Street Hail"
80457101,15489,"Freedom Taxi","5376","NGP",767639,"01/01/2015 00:04","01/01/2015 00:17","7.5","39.879992","-75.767408","219-29 S 18TH ST","40.105037","-75.765779","2001 HAMILTON ST","20.18","0.75","0.00","0.00","0.00","20.93","Cash","Street Hail"
65685107,79613,"Freedom Taxi","9758","NGP",452410,"01/01/2015 00:04","01/01/2015 00:07","0.0","39.590224","-75.518851","1326-42 SPRUCE ST","39.845063","-75.848355","3600 CONSHOHOCKEN AVE","3.85","0.75","0.00","0.00","0.00","4.60","Cash","Street Hail"
97160622,66487,"Freedom Taxi","3354","NGP",143452,"01/01/2015 00:05","01/01/2015 00:13","1.9","39.207497","-75.443115","210 LOCUST ST","39.872063","-75.129371","3 N CHRIS COLUMBUS BLV","8.22","0.75","0.00","0.00","0.00","8.97","Cash","Street Hail"
81826202,82406,"Freedom Taxi","4934","NGP",321652,"01/01/2015 00:05","01/01/2015 00:11","1.6","39.161419","-75.002399","200 LOCUST ST","39.857397","-75.022714","717 S CHRIS COLUMBUS BLV","6.61","0.75","0.00","0.00","0.00","7.36","Cash","Street Hail"
88754337,96737,"Quaker City Cab","8952","NGP",775797,"01/01/2015 00:05","01/01/2015 00:15","0.0","39.337634","-75.027276","233 S 06TH ST","39.190386","-75.959890","1806-18 RITTENHOUSE SQ","9.60","0.75","0.00","0.00","0.00","10.35","Cash","Street Hail"
46143836,17252,"Freedom Taxi","4921","NGP",123435,"01/01/2015 00:05","01/01/2015 00:11","0.0","39.913686","-75.087571","220 LOCUST ST","39.384986","-75.645862","9921 BUSTLETON AVE","5.92","0.75","0.00","0.00","0.00","6.67","Cash","Street Hail"
21959884,00745,"Freedom Taxi","8426","NGP",498341,"01/01/2015 00:06","01/01/2015 00:10","1.0","39.752280","-75.819430","202-10 W RITTENHOUSE SQ","39.457941","-75.557136","200-10 LOMBARD ST","5.23","0.75","0.00","0.00","0.00","5.98","Cash","Street Hail"
02819435,28017,"Freedom Taxi","2385","NGP",622962,"01/01/2015 00:06","01/01/2015 00:08","0.3","39.132315","-75.414123","3900 FORD RD","39.114912","-75.256312","400-26 S BROAD ST","3.62","0.75","0.00","0.00","0.00","4.37","Cash","Street Hail"
58441180,54320,"Freedom Taxi","6007","NGP",869695,"01/01/2015 00:06","01/01/2015 00:17","8.1","39.325861","-75.159620","212-24 S 24TH ST","40.709176","-75.725375","2101 MARKET ST","21.56","0.75","0.00","0.00","0.00","22.31","Cash","Street Hail"
64138675,28515,"Freedom Taxi","6749","NGP",611146,"01/01/2015 00:06","01/01/2015 00:10","0.9","39.465292","-75.057334","3600 CONSHOHOCKEN AVE","39.500155","-75.742500","1100 VINE ST","4.54","0.75","0.00","0.00","0.00","5.29","Cash","Street Hail"
